1,INSPEKTUR JENDERAL POLISI,IV/e
2,BRIGADIR JENDERAL POLISI,IV/d
3,KOMBES POL,IV/c
4,AKBP,IV/b
5,KOMPOL,IV/a
6,AKP,III/c
7,IPTU,III/b
8,IPDA,III/a
9,AIPTU,II/f
10,AIPDA,II/e
11,BRIPKA,II/d
12,BRIGPOL,II/c
13,BRIGADIR,II/c
14,BRIPTU,II/b
15,BRIPDA,II/a
16,ABRIP,I/f
17,ABRIPTU,I/e
18,ABRIPDA,I/d
19,BHARAKA,I/c
20,BHARATU,I/b
21,BHARADA,I/a
22,PEMBINA I,IV/c
23,PEMBINA,IV/a
24,PENATA I,III/d
25,PENATA,III/c
26,PENDA I,III/b
27,PENDA,III/a
28,PENGATUR I,II/d
29,PENGATUR,II/c
30,PENGDA I,II/b
31,PENGDA,II/a
32,CPNS,-
33,CAPEG,-
