1,KAPOLDA
2,WAKAPOLDA
3,SPRIPIM
4,ITWASDA
5,BIROOPS
6,BIRORENA
7,BIROSDM
8,BIROLOG
9,DITRESKRIMUM
10,DITRESKRIMNARKOBA
11,DITRESKRIMSUS
12,DITINTELKAM
13,DITPAMOBVIT
14,DITTAHTI
15,DITPOLAIRUD
16,DITSAMAPTA
17,DITLANTAS
18,DITBINMAS
19,BRIMOB
20,BIDPROPAM
21,BIDHUMAS
22,BIDKUM
23,YANMA
24,BIDKEU
25,BIDDOKKES
26,RUMKIT
27,SETUM
28,TI POLDA
29,POLRESTA DENPASAR
30,POLRES BADUNG
31,POLRES TABANAN
32,POLRES JEMBRANA
33,POLRES BULELENG
34,POLRES BANGLI
35,POLRES KLUNGKUNG
36,POLRES GIANYAR
37,POLRES KARANGASEM
38,POLRES BANDARA
39,SPN POLDA BALI
40,LABFOR
